Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
04 January 2024,16,N2EXMIDP,0,0
04 January 2024,17,APXMIDP ,1992.75,66.22
04 January 2024,17,N2EXMIDP,0,0
04 January 2024,18,APXMIDP ,2277.45,77.67
04 January 2024,18,N2EXMIDP,0,0
04 January 2024,19,APXMIDP ,2087.15,74.71
04 January 2024,19,N2EXMIDP,0,0
04 January 2024,20,APXMIDP ,2206.1,75.85
04 January 2024,20,N2EXMIDP,0,0
04 January 2024,21,APXMIDP ,2272.85,69.74
04 January 2024,21,N2EXMIDP,0,0
04 January 2024,22,APXMIDP ,2593.75,75.57
04 January 2024,22,N2EXMIDP,0,0
04 January 2024,23,APXMIDP ,2383.6,72.14
04 January 2024,23,N2EXMIDP,0,0
04 January 2024,24,APXMIDP ,2796.95,73.2
04 January 2024,24,N2EXMIDP,0,0
04 January 2024,25,APXMIDP ,1948.3,80.16
04 January 2024,25,N2EXMIDP,0,0
04 January 2024,26,APXMIDP ,2090.1,83.97
04 January 2024,26,N2EXMIDP,0,0
04 January 2024,27,APXMIDP ,2061.7,86.81
04 January 2024,27,N2EXMIDP,0,0
04 January 2024,28,APXMIDP ,2133.95,88.78
04 January 2024,28,N2EXMIDP,0,0
04 January 2024,29,APXMIDP ,2021.45,95.02
04 January 2024,29,N2EXMIDP,0,0
04 January 2024,30,APXMIDP ,2555.65,87.97
04 January 2024,30,N2EXMIDP,0,0
04 January 2024,31,APXMIDP ,2050.05,97.13
04 January 2024,31,N2EXMIDP,0,0
04 January 2024,32,APXMIDP ,2220.5,106.02
04 January 2024,32,N2EXMIDP,0,0
04 January 2024,33,APXMIDP ,2155.7,115.45
04 January 2024,33,N2EXMIDP,0,0
04 January 2024,34,APXMIDP ,3240.3,109.2
04 January 2024,34,N2EXMIDP,0,0
04 January 2024,35,APXMIDP ,2510,104.71
04 January 2024,35,N2EXMIDP,0,0
04 January 2024,36,APXMIDP ,3626.65,106.86
04 January 2024,36,N2EXMIDP,0,0
04 January 2024,37,APXMIDP ,3196.9,102.16
04 January 2024,37,N2EXMIDP,0,0
04 January 2024,38,APXMIDP ,2776.85,95.04
04 January 2024,38,N2EXMIDP,0,0
04 January 2024,39,APXMIDP ,3421.25,84.37
04 January 2024,39,N2EXMIDP,0,0
04 January 2024,40,APXMIDP ,3326.2,87.5
04 January 2024,40,N2EXMIDP,0,0
04 January 2024,41,APXMIDP ,2943,84.95
04 January 2024,41,N2EXMIDP,0,0
04 January 2024,42,APXMIDP ,2887.35,78.6
04 January 2024,42,N2EXMIDP,0,0
04 January 2024,43,APXMIDP ,2844.75,78.4
04 January 2024,43,N2EXMIDP,0,0
04 January 2024,44,APXMIDP ,3101.95,75.4
04 January 2024,44,N2EXMIDP,0,0
04 January 2024,45,APXMIDP ,3070.45,73.94
04 January 2024,45,N2EXMIDP,0,0
