Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
03 January 2025,33,N2EXMIDP,0,0
03 January 2025,34,APXMIDP ,3674.75,108.05
03 January 2025,34,N2EXMIDP,0,0
03 January 2025,35,APXMIDP ,3528.45,110.82
03 January 2025,35,N2EXMIDP,0,0
03 January 2025,36,APXMIDP ,3535.4,120.42
03 January 2025,36,N2EXMIDP,0,0
03 January 2025,37,APXMIDP ,3420.35,124.53
03 January 2025,37,N2EXMIDP,0,0
03 January 2025,38,APXMIDP ,3704,127.3
03 January 2025,38,N2EXMIDP,0,0
03 January 2025,39,APXMIDP ,2690.8,137.57
03 January 2025,39,N2EXMIDP,0,0
03 January 2025,40,APXMIDP ,2788.7,137.93
03 January 2025,40,N2EXMIDP,0,0
03 January 2025,41,APXMIDP ,2653.45,134.9
03 January 2025,41,N2EXMIDP,0,0
03 January 2025,42,APXMIDP ,2108.2,124.07
03 January 2025,42,N2EXMIDP,0,0
03 January 2025,43,APXMIDP ,1966.05,118.67
03 January 2025,43,N2EXMIDP,0,0
03 January 2025,44,APXMIDP ,2282.5,112.04
03 January 2025,44,N2EXMIDP,0,0
03 January 2025,45,APXMIDP ,2394.6,116.99
03 January 2025,45,N2EXMIDP,0,0
03 January 2025,46,APXMIDP ,2026.95,114.38
03 January 2025,46,N2EXMIDP,0,0
03 January 2025,47,APXMIDP ,1601.9,102.69
03 January 2025,47,N2EXMIDP,0,0
03 January 2025,48,APXMIDP ,1251.15,101.04
03 January 2025,48,N2EXMIDP,0,0
04 January 2025,1,APXMIDP ,1252.45,97.44
04 January 2025,1,N2EXMIDP,0,0
04 January 2025,2,APXMIDP ,1462.85,102
04 January 2025,2,N2EXMIDP,0,0
04 January 2025,3,APXMIDP ,1677.45,98.69
04 January 2025,3,N2EXMIDP,0,0
04 January 2025,4,APXMIDP ,1641.2,95.84
04 January 2025,4,N2EXMIDP,0,0
04 January 2025,5,APXMIDP ,1364.25,97.69
04 January 2025,5,N2EXMIDP,0,0
04 January 2025,6,APXMIDP ,1612.25,99.3
04 January 2025,6,N2EXMIDP,0,0
04 January 2025,7,APXMIDP ,1663,92.83
04 January 2025,7,N2EXMIDP,0,0
04 January 2025,8,APXMIDP ,1557.5,90.83
04 January 2025,8,N2EXMIDP,0,0
04 January 2025,9,APXMIDP ,1784.45,94.07
04 January 2025,9,N2EXMIDP,0,0
04 January 2025,10,APXMIDP ,1922.8,92.06
